t,x,dx_dt
21019.859390097048,1.6087745209020126,-0.00010129831307104098
21027.931532719973,1.6079563564803248,-0.00010141354256365531
21036.003675342898,1.6071372495462668,-0.000101532642848845
21044.075817965822,1.606317196565243,-0.00010164951741442607
21052.147960588747,1.605496193980672,-0.00010176582410093005
21060.22010321167,1.6046742382135892,-0.0001018859666079841
21068.292245834597,1.6038513256615687,-0.00010200471495247498
21076.36438845752,1.6030274526994495,-0.00010212244161422745
21084.43653108045,1.6022026156791263,-0.00010224324026308906
21092.508673703374,1.6013768109285715,-0.00010236394232254753
21100.5808163263,1.6005500347521768,-0.000102483596053915
21108.652958949224,1.5997222834307165,-0.00010260456900779147
21116.72510157215,1.5988935532207424,-0.00010272724809690104
21124.797244195073,1.5980638403541958,-0.00010284815582517481
21132.869386817998,1.597233141038897,-0.00010297009744864027
21140.941529440923,1.59640145145786,-0.0001030946386593179
21149.013672063847,1.5955687677686285,-0.00010321674598356978
21157.085814686776,1.5947350861040523,-0.00010333970873466214
21165.1579573097,1.5939004025715386,-0.00010346614454093128
21173.230099932625,1.5930647132522164,-0.00010359023361328212
21181.30224255555,1.592228014201759,-0.0001037140787141233
21189.374385178475,1.591390301449851,-0.00010384159115917058
21197.4465278014,1.5905515709991924,-0.00010396830063541529
21205.518670424324,1.589711818826071,-0.00010409437534164567
21213.59081304725,1.588871040879989,-0.00010422121277109397
21221.662955670174,1.5880292330833041,-0.00010435061703617521
21229.735098293102,1.5871863913304767,-0.0001044776704040018
21237.807240916027,1.586342511488795,-0.000104605517581291
21245.87938353895,1.5854975893976437,-0.00010473705069902195
21253.951526161876,1.5846516208675667,-0.00010486625678929329
21262.0236687848,1.583804601681116,-0.0001049952724763159
21270.095811407726,1.5829565275922517,-0.00010512764769821104
21278.16795403065,1.5821073943254005,-0.000105259699845206
21286.240096653575,1.5812571975758223,-0.00010539065509185264
21294.3122392765,1.5804059330093936,-0.00010552248075335058
21302.38438189943,1.5795535962621556,-0.00010565755548253009
21310.456524522353,1.5787001829394187,-0.00010579031262114569
21318.528667145278,1.5778456886165149,-0.00010592305255130441
21326.600809768202,1.5769901088381584,-0.00010605928635332162
21334.672952391127,1.5761334391174973,-0.00010619537471612261
21342.745095014052,1.5752756749364278,-0.00010633004532412116
21350.817237636977,1.5744168117454231,-0.00010646561798832721
21358.8893802599,1.573556844963022,-0.00010660472393730913
21366.961522882826,1.5726957699748498,-0.00010674155226375603
21375.033665505754,1.571833582134406,-0.00010687836893286118
21383.10580812868,1.570970276762357,-0.00010701822372727321
21391.177950751604,1.5701058491456812,-0.00010715851206377636
21399.25009337453,1.569240294537734,-0.0001072971367310771
21407.322235997453,1.568373608158233,-0.00010743656908562826
21415.394378620378,1.5675057851926668,-0.00010757968071928303
21423.466521243303,1.566636820791312,-0.00010772145619952767
21431.538663866228,1.5657667100698216,-0.00010786285364883241
21439.610806489152,1.564895448108539,-0.00010800491723195194
21447.68294911208,1.5640230299522275,-0.00010815047801759903
21455.755091735005,1.5631494506089838,-0.00010829409147206093
21463.82723435793,1.562274705050939,-0.00010843788478265282
21471.899376980855,1.561398788213415,-0.00010858330179441822
21479.97151960378,1.5605216949944656,-0.00010873105527053895
21488.043662226704,1.5596434202541805,-0.00010887670043313591
21496.11580484963,1.558763958815125,-0.00010902275526802896
21504.187947472554,1.5578833054615695,-0.00010917190595982618
21512.26009009548,1.557001454938626,-0.00010932165395161064
21520.332232718403,1.5561184019522116,-0.00010946969830616382
21528.40437534133,1.5552341411689705,-0.0001096183782633986
21536.476517964256,1.5543486672156204,-0.00010977044939686209
21544.54866058718,1.5534619746780132,-0.00010992284638078331
21552.620803210106,1.5525740581012037,-0.00011007366129689444
21560.69294583303,1.5516849119892235,-0.0001102250318796294
21568.765088455955,1.550794530804456,-0.00011037953162595926
21576.83723107888,1.5499029089667398,-0.00011053492010582033
21584.909373701805,1.5490100408532366,-0.00011068858885021626
21592.98151632473,1.5481159207983437,-0.00011084284989859583
21601.053658947658,1.547220543092941,-0.00011099972774264444
21609.125801570583,1.5463239019836366,-0.00011115814824158576
21617.197944193507,1.5454259916723538,-0.00011131478350190349
21625.270086816432,1.5445268063164033,-0.00011147198497596378
21633.342229439357,1.5436263400276071,-0.00011163115654078126
21641.41437206228,1.5427245868717079,-0.00011179271619532472
21649.486514685206,1.5418215408676577,-0.0001119529563498034
21657.55865730813,1.5409171959877508,-0.0001121132964243543
21665.630799931056,1.5400115461567168,-0.00011227416107928434
21673.702942553984,1.5391045852514575,-0.00011243883935030397
21681.77508517691,1.5381963070997293,-0.00011260307353211374
21689.847227799833,1.5372867054803994,-0.00011276619527045284
21697.91937042276,1.5363757741228372,-0.00011293011137336606
