rho,z_maxima
18.900000000000002,17.900002235449048
18.900000000000002,17.9000022552939
18.900000000000002,17.900002227160023
18.900000000000002,17.9000021860524
18.900000000000002,17.90000215104803
18.900000000000002,17.90000212077552
18.900000000000002,17.90000209466414
18.900000000000002,17.900002073098808
18.900000000000002,17.90000205769547
18.900000000000002,17.900002076340254
18.900000000000002,17.90000215710079
18.900000000000002,17.900002212932005
18.900000000000002,17.900002180834505
18.900000000000002,17.900002152951817
18.900000000000002,17.90000212837588
18.900000000000002,17.90000210634766
19.0,18.00000224448743
19.0,18.000002269256594
19.0,18.00000225010546
19.0,18.00000221262057
19.0,18.000002180823216
19.0,18.000002153500517
19.0,18.000002129915597
19.0,18.000002109973956
19.0,18.000002094364813
19.0,18.000002113793308
19.0,18.000002195187268
19.0,18.000002252269777
19.0,18.000002301880222
19.0,18.000002258910403
19.0,18.00000222361731
19.0,18.000002194471627
19.0,18.000002169857765
19.0,18.00000214861373
19.0,18.000002130214718
19.0,18.00000211494268
19.0,18.000002104414264
19.0,18.00000218918663
19.0,18.000002239782678
19.0,18.000002263510225
19.0,18.000002251514932
19.0,18.00000221316525
19.0,18.000002180525062
19.1,18.100002176048495
19.1,18.100002157748598
19.1,18.100002141333825
19.1,18.10000212701841
19.1,18.10000211546051
19.1,18.100002107959746
19.1,18.10000213336092
19.1,18.10000221936947
19.1,18.1000022800794
19.1,18.100002334628915
19.1,18.100002294097294
19.1,18.100002260710102
19.1,18.100002233411985
19.1,18.100002210776342
19.1,18.100002191526308
19.1,18.100002174773785
19.1,18.10000216007015
19.1,18.100002147435642
19.1,18.100002137512053
19.1,18.1000022241709
19.1,18.100002286131936
19.1,18.100002316276065
19.1,18.10000229375047
19.1,18.10000226030949
19.1,18.10000223268235
19.1,18.100002209133308
19.1,18.10000218834213
19.200000000000003,18.20000244712737
19.200000000000003,18.200002459357478
19.200000000000003,18.200002423167426
19.200000000000003,18.200002436922613
19.200000000000003,18.200002405843975
19.200000000000003,18.20000241905047
19.200000000000003,18.20000239427607
19.200000000000003,18.200002354697464
19.200000000000003,18.200002374334005
19.200000000000003,18.200002356622516
19.200000000000003,18.200002321120856
19.200000000000003,18.200002292816208
19.200000000000003,18.20000227010436
19.200000000000003,18.200002298294173
19.200000000000003,18.200002296288616
19.200000000000003,18.200002267172632
19.200000000000003,18.20000224251934
19.200000000000003,18.200002221564194
19.200000000000003,18.200002203545427
19.200000000000003,18.200002187880276
19.200000000000003,18.20000217423903
19.200000000000003,18.200002162569948
19.200000000000003,18.200002153130956
19.200000000000003,18.200002146578278
19.200000000000003,18.20000217356636
19.200000000000003,18.200002259721913
19.200000000000003,18.20000232136639
19.3,18.300002558132935
19.3,18.30000251805871
19.3,18.300002530175284
19.3,18.300002490962182
19.3,18.30000250796992
19.3,18.30000252727333
19.3,18.30000249329833
19.3,18.300002506602286
19.3,18.30000247338015
19.3,18.30000248980657
19.3,18.30000245844083
19.3,18.300002476494686
19.3,18.30000244747989
19.3,18.300002465975787
19.3,18.300002439679577
19.3,18.300002457724368
19.3,18.300002434562465
19.3,18.30000239871958
19.3,18.300002424456604
19.3,18.300002403333238
19.3,18.300002424341827
19.3,18.300002408489984
19.3,18.300002374452998
19.3,18.30000239935941
19.3,18.300002386851567
19.3,18.300002355343995
19.3,18.30000233097535
19.3,18.300002361735743
19.400000000000002,18.40000273387754
19.400000000000002,18.4000027350247
19.400000000000002,18.400002735609636
19.400000000000002,18.40000273564334
19.400000000000002,18.40000273514994
19.400000000000002,18.400002734165877
19.400000000000002,18.40000273273856
19.400000000000002,18.40000273092458
19.400000000000002,18.400002728787484
19.400000000000002,18.400002726395268
19.400000000000002,18.400002723817764
19.400000000000002,18.400002721123972
19.400000000000002,18.400002718379806
19.400000000000002,18.40000271564607
19.400000000000002,18.40000271297703
19.400000000000002,18.400002710419482
19.400000000000002,18.40000270801237
19.400000000000002,18.400002705786815
19.400000000000002,18.400002703766557
19.400000000000002,18.400002701968603
19.400000000000002,18.40000270040405
19.400000000000002,18.40000269907891
19.400000000000002,18.40000269799495
19.400000000000002,18.400002697150434
19.400000000000002,18.400002696540746
19.400000000000002,18.400002696158953
19.400000000000002,18.40000269599614
19.5,18.500002778652668
19.5,18.50000277922741
19.5,18.500002778338562
19.5,18.500002776124525
19.5,18.500002772782466
19.5,18.500002768553138
19.5,18.500002763760925
19.5,18.500002759305723
19.5,18.500002755527372
19.5,18.50000275252575
19.5,18.50000275035097
19.5,18.500002749015245
19.5,18.500002748505104
19.5,18.500002748792486
19.5,18.500002749843684
19.5,18.50000275162587
19.5,18.50000275411146
19.5,18.50000275728037
19.5,18.500002761120818
19.5,18.500002765628846
19.5,18.500002770806905
19.5,18.50000277666157
19.5,18.500002783200475
19.5,18.500002790428326
19.5,18.50000279834183
19.5,18.500002806923188
19.5,18.500002816131826
19.6,18.600002810571894
19.6,18.600002746270977
19.6,18.600002756196474
19.6,18.600002769548013
19.6,18.600002780644296
19.6,18.600002789330834
19.6,18.600002795468175
19.6,18.600002798988797
19.6,18.60000279993067
19.6,18.60000279895812
19.6,18.600002797914346
19.6,18.60000279747975
19.6,18.600002798140036
19.6,18.600002800244937
19.6,18.600002804012334
19.6,18.600002809547192
19.6,18.600002816865935
19.6,18.60000282591772
19.6,18.60000283659653
19.6,18.600002848740772
19.6,18.600002862119226
19.6,18.600002876403416
19.6,18.600002802383198
19.6,18.600002724760664
19.6,18.600002738901978
19.6,18.600002750732962
19.6,18.600002759924266
19.6,18.600002766547707
19.700000000000003,18.700002877350183
19.700000000000003,18.70000289116195
19.700000000000003,18.70000290745304
19.700000000000003,18.70000292542595
19.700000000000003,18.70000285169452
19.700000000000003,18.700002774893047
19.700000000000003,18.700002786542072
19.700000000000003,18.700002795358998
19.700000000000003,18.700002801485336
19.700000000000003,18.700002805795403
